Telecom Service Area,Rural Subscriber Base
Andhra Pradesh,12.1
Assam,4.25
Bihar,11.91
Delhi,0.69
Gujarat,8.26
Haryana,3.65
Himachal Pradesh,2.1
Jammu & Kashmir,1.87
Karnataka,6.37
Kerala,6.72
Kolkata,0.76
Madhya Pradesh including Chhatisgarh,7.7
Maharashtra,11.75
Mumbai,0.5
North East,2.22
Orrisa,4.93
Punjab,4.67
Rajasthan,8.71
Tamil Nadu,8.08
Uttar Pradesh (East),13.41
Uttar Pradesh (West),7.1
West Bengal,8.8
